Newspapers,LCCN,OCLC,ISSN,State,County,City,Geo Location,Browse Digitized Issues,Number of Issues,First Issue,Last Issue,Essay Available,Languages,Ethnicity
"The Advance (Wilmington, Del.) 1899-19??",sn86058063,13353313,2637-8205,Delaware,New Castle,Wilmington,"39.7444318, -75.5451003",https://www.loc.gov/item/sn86058063/?st=calendar,1,9/22/00,9/22/00,TRUE,English,African American
"The Advocate (Charleston, W. Va.) 1901-1913",sn85059812,12920534,2574-6464,West Virginia,Kanawha,Charleston,"38.351194, -81.638362",https://www.loc.gov/item/sn85059812/?st=calendar,287,2/7/07,11/14/12,TRUE,English,African American
"The Advocate (Leavenworth, Kan.) 1888-1889",sn85029303,12101931,,Kansas,Leavenworth,Leavenworth,"39.32746, -94.918953",https://www.loc.gov/item/sn85029303/?st=calendar,31,1888-08-18,1889-09-14,,English,African American
"African Expositor (Raleigh, N.C.) 18??-18??",sn97064613,38892755,2766-5992,North Carolina,Wake,Raleigh,"35.7813033, -78.6416795",https://www.loc.gov/item/sn97064613/?st=calendar,1,1886-10-01,1886-10-01,,English,African American
"Africo-American Presbyterian (Wilmington, N.C.) 1879-1938",sn84025826,10354392,2835-8740,North Carolina,"Mecklenburg, New Hanover","Charlotte, Wilmington","34.2367, -77.946197",https://www.loc.gov/item/sn84025826/?st=calendar,1,1899-12-21,1899-12-21,TRUE,English,African American
"The Afro-American (Baltimore, Md.) 1892-1899",sn83009626,9235910,2473-5922,Maryland,,Baltimore,"39.290443, -76.612333",https://www.loc.gov/item/sn83009626/?st=calendar,23,1893-04-29,1898-03-26,TRUE,English,African American
"The Afro-American Advance (Minneapolis, Minn. ; St. Paul, Minn.) 1899-19??",sn86058061,13353098,2996-3141,Minnesota,"Hennepin, Ramsey","Minneapolis, Saint Paul","44.943719, -93.094281",https://www.loc.gov/item/sn86058061/?st=calendar,71,1899-05-27,11/17/00,TRUE,English,African American
"Afro-American Advocate (Coffeyville, Kan.) 1891-1893",sn85031378,12257763,2997-6510,Kansas,Montgomery,Coffeyville,"37.032981, -95.615716",https://www.loc.gov/item/sn85031378/?st=calendar,74,1891-09-02,1893-09-01,TRUE,English,African American
"The Afro-American Citizen (Charleston, S.C.) 1899-1902",sn83025782,9797992,2166-1669,South Carolina,Charleston,Charleston,"32.77647, -79.931027",https://www.loc.gov/item/sn83025782/?st=calendar,1,1/17/00,1/17/00,TRUE,English,African American
"Afro-American Courier (Yazoo City, Miss.) 1926-19??",sn88067171,18201922,2694-6068,Mississippi,Yazoo,Yazoo City,"32.8472499, -90.4136515",https://www.loc.gov/item/sn88067171/?st=calendar,54,8/1/26,5/1/57,TRUE,English,African American
"Afro-Independent (St. Paul, Minn. ; Minneapolis, Minn.) 1888-1???",sn86058058,13351837,2996-3222,Minnesota,"Ramsey, Hennepin","Saint Paul, Minneapolis","44.9774859, -93.2643669",https://www.loc.gov/item/sn86058058/?st=calendar,1,1888-09-22,1888-09-22,TRUE,English,African American
"The Aliened American (Cleveland, Ohio) 1853-18??",sn83035397,9777824,2836-0982,Ohio,Cuyahoga,Cleveland,"41.5051414, -81.6914575",https://www.loc.gov/item/sn83035397/?st=calendar,1,1853-04-09,1853-04-09,TRUE,English,African American
"American Baptist (Louisville, Ky.) 1879-19??",sn93062854,27507899,1943-8885,Kentucky,Jefferson,Louisville,"38.256078, -85.751569",https://www.loc.gov/item/sn93062854/?st=calendar,37,4/10/03,12/23/04,TRUE,English,African American
The American Citizen (Baltimore [Md.]) 1879-1???,sn83027092,9948094,2832-7365,Maryland,,Baltimore,"39.290443, -76.612333",https://www.loc.gov/item/sn83027092/?st=calendar,1,1879-04-19,1879-04-19,TRUE,English,African American
"The American Citizen (Topeka, Kan.) 1888-1909",sn85032031,12759891,2994-838x,Kansas,"Shawnee, Wyandotte","Topeka, Kansas City","39.1127, -94.626804",https://www.loc.gov/item/sn85032031/?st=calendar,836,1888-02-23,8/2/07,TRUE,English,African American
"The American Eagle (St. Louis, Mo.) 1894-19??",sn84020143,10408010,2835-6373,Missouri,Saint Louis,Saint Louis,"38.635355, -90.2009855",https://www.loc.gov/item/sn84020143/?st=calendar,1,12/17/05,12/17/05,TRUE,English,African American
"The American Guide (Little Rock, Ark.) 1889-1???",sn83025496,9529432,2833-1931,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn83025496/?st=calendar,27,1896-03-28,1/27/00,TRUE,English,African American
"The American Negro (Springfield, Mo.) 1890-1890",sn83025434,9467380,2835-625x,Missouri,Greene,Springfield,"37.215521, -93.292361",https://www.loc.gov/item/sn83025434/?st=calendar,1,1890-10-25,1890-10-25,TRUE,English,African American
"The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??",sn83016810,10157486,2163-7075,Minnesota,"Ramsey, Hennepin, Cook","Saint Paul, Minneapolis, Chicago","41.883229, -87.632398",https://www.loc.gov/item/sn83016810/?st=calendar,1558,1889-02-23,11/24/23,TRUE,English,African American
"The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??",sn83016810,10157486,2163-7075,Illinois,"Ramsey, Hennepin, Cook","Saint Paul, Minneapolis, Chicago","41.883229, -87.632398",https://www.loc.gov/item/sn83016810/?st=calendar,1558,1889-02-23,11/24/23,TRUE,English,African American
"The Arizona Gleam (Phoenix, Ariz.) 1929-193?",sn95060626,33668826,2692-6881,Arizona,Maricopa,Phoenix,"33.448204, -112.0725848",https://www.loc.gov/item/sn95060626/?st=calendar,166,12/15/29,11/26/37,TRUE,English,African American
"Arizona Sun (Phoenix, Ariz.) 1942-196?",sn84021917,2701819,2692-692x,Arizona,Maricopa,Phoenix,"33.448204, -112.0725848",https://www.loc.gov/item/sn84021917/?st=calendar,793,7/7/44,12/27/63,TRUE,English,African American
"Arizona Tribune (Phoenix, Ariz.) 1958-197?",sn84021918,2712104,2692-6946,Arizona,Maricopa,Phoenix,"33.448204, -112.0725848",https://www.loc.gov/item/sn84021918/?st=calendar,275,7/25/58,12/27/63,TRUE,English,African American
"The Arkansas Freeman (Little Rock, Ark.) 1869-18??",sn83025492,9527477,2833-1915,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn83025492/?st=calendar,2,1869-09-28,1869-10-05,TRUE,English,African American
"Arkansas State Press (Little Rock, Ark.) 1941-1959",sn84025840,10434302,2994-3809,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn84025840/?st=calendar,893,5/9/41,10/30/59,TRUE,English,African American
"Arkansas Survey (Little Rock, Ark.) 1923-1935",sn92050012,25133882,2995-4592,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn92050012/?st=calendar,1,9/20/24,9/20/24,TRUE,English,African American
"Arkansas Survey-Journal (Little Rock, Ark.) 1935-195?",sn92050011,25133891,2995-4576,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn92050011/?st=calendar,1,9/28/40,9/28/40,TRUE,English,African American
"Arkansas Weekly Mansion (Little Rock, Ark.) 1880-1886",sn84020670,4065923,2995-4614,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn84020670/?st=calendar,42,1883-06-23,1885-11-21,TRUE,English,African American
"The Arkansas World (Little Rock, Ark.) 1940-1957",sn92050010,25133894,2995-4630,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn92050010/?st=calendar,1,9/21/40,9/21/40,TRUE,English,African American
"The Atchison Blade (Atchison, Kan.) 1892-1898",sn83040110,9473982,2997-6723,Kansas,Atchison,Atchison,"39.560903, -95.127377",https://www.loc.gov/item/sn83040110/?st=calendar,69,1892-07-23,1894-01-20,TRUE,English,African American
"The Athens Republique (Athens, Ga.) 1919-????",2012233098,"812195741, n812195741",2768-654x,Georgia,Athens-Clarke,Athens,"33.957412, -83.376798",https://www.loc.gov/item/2012233098/?st=calendar,19,1/15/21,3/27/26,TRUE,English,African American
"Atlanta Age (Atlanta, Ga.) 1898-19??",sn82014241,8790269,2833-535x,Georgia,Fulton,Atlanta,"33.748547, -84.391502",https://www.loc.gov/item/sn82014241/?st=calendar,1,1/13/00,1/13/00,TRUE,English,African American
"The Augusta Union (Augusta, Ga.) 1889-19??",sn83016240,2715348,2833-6917,Georgia,Richmond,Augusta,"33.472494, -81.964397",https://www.loc.gov/item/sn83016240/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"The Banner-Enterprise (Wilmington, N.C.) 1883-18??",sn87070090,16117652,2576-6902,North Carolina,"Wake, New Hanover","Raleigh, Wilmington","34.2367, -77.946197",https://www.loc.gov/item/sn87070090/?st=calendar,22,1883-04-19,1884-08-09,TRUE,English,African American
"The Baptist Headlight (Topeka, Kan.) 1893-1894",sn88086003,17338541,2994-8428,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn88086003/?st=calendar,28,1893-09-15,1894-08-08,TRUE,English,African American
"The Bee (Washington, D.C.) 1882-1884",sn84025890,10587821,2157-3298,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn84025890/?st=calendar,71,1882-06-10,1884-07-26,TRUE,English,African American
"The Benevolent Banner (North Topeka, Kan.) 1887-18??",sn85032037,12759902,2994-8460,Kansas,Shawnee,North Topeka,"39.07222, -95.66693",https://www.loc.gov/item/sn85032037/?st=calendar,17,1887-05-21,1887-10-22,TRUE,English,African American
The Black Republican (New Orleans [La.]) 1865-186?,sn83016563,9908183,2835-0774,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016563/?st=calendar,5,1865-04-15,1865-05-20,TRUE,English,African American
"Black Republican and Office-Holder's Journal (New York, N.Y.) 18??-18??",sn85042252,12006614,2994-9785,New York,New York,New York,"40.7130466, -74.0072301",https://www.loc.gov/item/sn85042252/?st=calendar,1,1865-08-10,1865-08-10,TRUE,English,African American
"The Boston Advance (Boston, Mass.) 1896-1907",sn84025816,10338032,2836-8800,Massachusetts,Suffolk,Boston,"42.3589942, -71.0586293",https://www.loc.gov/item/sn84025816/?st=calendar,1,2/17/00,2/17/00,TRUE,English,African American
"The Boston Courant (Boston, Mass.) 1890-19??",sn84025817,10337702,2836-8827,Massachusetts,Suffolk,Boston,"42.3589942, -71.0586293",https://www.loc.gov/item/sn84025817/?st=calendar,1,1/6/00,1/6/00,TRUE,English,African American
"The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??",sn84024055,10392922,2163-7202,Illinois,"Cook County, Salt Lake County","Chicago, Salt Lake City","40.758478, -111.888142",https://www.loc.gov/item/sn84024055/?st=calendar,1661,1895-08-31,9/10/27,TRUE,English,African American
"The Broad Ax (Salt Lake City, Utah; Chicago, Ill.) 1895-19??",sn84024055,10392922,2163-7202,Utah,"Cook County, Salt Lake County","Chicago, Salt Lake City","40.758478, -111.888142",https://www.loc.gov/item/sn84024055/?st=calendar,1661,1895-08-31,9/10/27,TRUE,English,African American
"The Bulletin (Louisville, Ky.) 18??-18??",sn83016361,9745888,2835-0685,Kentucky,Jefferson,Louisville,"38.256078, -85.751569",https://www.loc.gov/item/sn83016361/?st=calendar,1,1881-09-24,1881-09-24,TRUE,English,African American
"The Bystander (Des Moines, Iowa) 1916-1922",sn85049804,2258813,2332-4554,Iowa,Polk,Des Moines,"41.588822, -93.620309",https://www.loc.gov/item/sn85049804/?st=calendar,303,1/21/16,12/31/21,TRUE,English,African American
"The Carolina News (Forest City, N.C. ; Harris, N.C.) 1952-19??",sn98058906,38214323,2769-1438,North Carolina,Rutherford,"Forest City, Harris","35.303729, -79.535158",https://www.loc.gov/item/sn98058906/?st=calendar,1,4/1/52,4/1/52,,English,African American
"The Carolina Tribune (Raleigh, N.C.) 19??-1940",sn92072999,25587012,2769-1411,North Carolina,Wake,Raleigh,"35.7813033, -78.6416795",https://www.loc.gov/item/sn92072999/?st=calendar,3,3/2/35,6/3/39,TRUE,English,African American
"Cayton's Monthly (Seattle, Wash.) 1921-1921",sn87093354,17248383,2159-5569,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn87093354/?st=calendar,2,2/1/21,3/1/21,TRUE,English,African American
"Cayton's Weekly (Seattle, Wash.) 1916-1921",sn87093353,17248379,2158-4699,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn87093353/?st=calendar,186,7/14/17,1/29/21,TRUE,English,African American
"The Century Voice (Yazoo City, Miss.) 194?-19??",sn88067172,18201974,2694-6319,Mississippi,Yazoo,Yazoo City,"32.8472499, -90.4136515",https://www.loc.gov/item/sn88067172/?st=calendar,44,8/1/42,2/1/63,TRUE,English,African American
"The Charleston Advocate (Charleston, S.C.) 1867-1868",sn83025784,9803264,2166-1707,South Carolina,Charleston,Charleston,"32.77647, -79.931027",https://www.loc.gov/item/sn83025784/?st=calendar,25,1867-02-23,1868-12-05,TRUE,English,African American
"The Chicago Illinois Idea (Chicago, Ill.) 19??-19??",sn90053126,23103639,2769-5395,Illinois,Cook County,Chicago,"41.883229, -87.632398",https://www.loc.gov/item/sn90053126/?st=calendar,1,10/28/16,10/28/16,TRUE,English,African American
"The Chicago Reflector (Chicago, Ill.) 1896-1???",sn91055768,23257134,2769-5980,Illinois,Cook County,Chicago,"41.883229, -87.632398",https://www.loc.gov/item/sn91055768/?st=calendar,1,1897-10-16,1897-10-16,TRUE,English,African American
"The Chicago Whip (Chicago, Ill.) 1919-19??",sn86056950,15192974,2694-099x,Illinois,Cook County,Chicago,"41.883229, -87.632398",https://www.loc.gov/item/sn86056950/?st=calendar,177,6/24/19,10/10/31,TRUE,English,African American
"The Chicago World (Chicago, Ill.) 1900-19??",sn84025819,10337738,2836-8894,Illinois,Cook,Chicago,"41.883229, -87.632398",https://www.loc.gov/item/sn84025819/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"Chicago World (Chicago, Ill.) 1918-????",sn91055455,24283548,2694-1066,Illinois,Cook,Chicago,"41.883229, -87.632398",https://www.loc.gov/item/sn91055455/?st=calendar,61,6/23/34,2/4/50,TRUE,English,African American
"The Christian Banner (Philadelphia, Pa.) 1888-19??",sn83027087,9869515,2835-8899,Pennsylvania,Philadelphia,Philadelphia,"39.9510605, -75.1656204",https://www.loc.gov/item/sn83027087/?st=calendar,1,1/12/00,1/12/00,TRUE,English,African American
"The Cleveland Gazette (Cleveland, Ohio) 1883-1892",sn83035386,9754948,2998-3452,Ohio,Cuyahoga,Cleveland,"41.5051414, -81.6914575",https://www.loc.gov/item/sn83035386/?st=calendar,480,1883-08-25,1892-11-05,TRUE,English,African American
"The Colorado Statesman (Denver, Colo.) 1895-1961",sn83025514,9541391,2770-5285,Colorado,Denver,Denver,"39.738453, -104.984853",https://www.loc.gov/item/sn83025514/?st=calendar,1000,1/27/00,8/16/24,TRUE,English,African American
"The Colored American (Washington, D.C.) 1893-19??",sn83027091,9948037,1940-7416,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn83027091/?st=calendar,241,1894-08-11,11/12/04,TRUE,English,African American
"The Colored American (Augusta, Ga.) 1865-1866",sn82014351,8780206,2833-5481,Georgia,Richmond,Augusta,"33.472494, -81.964397",https://www.loc.gov/item/sn82014351/?st=calendar,3,1865-12-30,1866-01-13,TRUE,English,African American
"The Colored Citizen (Cincinnati, O. [Ohio]) 1863-18??",sn83027095,10005063,2835-964x,Ohio,Hamilton,Cincinnati,"39.12711, -84.51439",https://www.loc.gov/item/sn83027095/?st=calendar,1,1866-05-19,1866-05-19,TRUE,English,African American
"Colored Citizen (Fort Scott, Kan.) 1878-1880",sn83040558,2639508,,Kansas,"Bourbon, Shawnee","Fort Scott, Topeka","39.050976, -95.670433",https://www.loc.gov/item/sn83040558/?st=calendar,84,1878-04-19,1879-12-27,TRUE,English,African American
"The Colored Citizen (Topeka, Kan.) 1897-1900",sn85067023,12771625,2693-5376,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85067023/?st=calendar,91,1897-06-17,11/16/00,TRUE,English,African American
"The Colored Citizen (Helena, Mont.) 1894-1894",sn84036198,11254796,2326-9685,Montana,Lewis and Clark,Helena,"46.5910708, -112.0203973",https://www.loc.gov/item/sn84036198/?st=calendar,10,1894-09-03,1894-11-05,TRUE,English,African American
"The Colored Patriot (Topeka, Kan.) 1882-18??",sn85067024,12771653,2994-8517,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85067024/?st=calendar,9,1882-04-20,1882-06-22,TRUE,English,African American
"The Colored Tennessean (Nashville, Tenn.) 1865-1866",sn83025745,9773024,2835-7477,Tennessee,Davidson,Nashville,"36.1663493, -86.7790541",https://www.loc.gov/item/sn83025745/?st=calendar,5,1865-08-12,1866-03-31,TRUE,English,African American
"The Colored Visitor (Logansport, Ind.) 1879-18??",sn82016213,9202276,2833-8669,Indiana,Cass,Logansport,"40.754493, -86.362997",https://www.loc.gov/item/sn82016213/?st=calendar,1,1879-08-01,1879-08-01,TRUE,English,African American
"Columbus Chronicle (Columbus, Ga.) 1895-1900",sn83016189,9613829,2833-6666,Georgia,Muscogee,Columbus,"32.466682, -84.990405",https://www.loc.gov/item/sn83016189/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"Columbus Standard (Columbus, Ohio) 1898-1901",sn84025831,10372298,2996-6442,Ohio,Franklin,Columbus,"39.962762, -82.996291",https://www.loc.gov/item/sn84025831/?st=calendar,1,7/27/01,7/27/01,TRUE,English,African American
"The Commonwealth (Baltimore, Md.) 1915-19??",sn83027090,9902528,2832-7330,Maryland,,Baltimore,"39.290443, -76.612333",https://www.loc.gov/item/sn83027090/?st=calendar,6,7/24/15,9/4/15,TRUE,English,African American
"The Community Citizen (New Albany, Miss.) 19??-19??",sn88067103,17388230,2694-6394,Mississippi,Union,New Albany,"34.49397, -89.008381",https://www.loc.gov/item/sn88067103/?st=calendar,6,11/17/55,1/8/59,TRUE,English,African American
"The Concordia Eagle (Vidalia, La.) 1873-1890",sn83016716,10024403,2163-7040,Louisiana,Concordia,Vidalia,"31.569337, -91.435766",https://www.loc.gov/item/sn83016716/?st=calendar,17,1875-10-02,1885-07-04,TRUE,English,African American
"Connecticut Chronicle (Hartford, Conn.) 194?-194?",sn92051345,26273329,2642-7109,Connecticut,Hartford,Hartford,"41.765775, -72.673356",https://www.loc.gov/item/sn92051345/?st=calendar,1,6/5/48,6/5/48,TRUE,English,African American
"The Conservator (Chicago, Ill.) 18??-1???",sn84024048,10356720,2836-1210,Illinois,Cook County,Chicago,"41.883229, -87.632398",https://www.loc.gov/item/sn84024048/?st=calendar,4,1882-11-18,1886-12-18,TRUE,English,African American
"The Crusader (New Orleans, La.) 1889-189?",sn83016562,9908127,2835-074x,Louisiana,Orleans,New Orleans,"29.9517634, -90.0746168",https://www.loc.gov/item/sn83016562/?st=calendar,1,1890-07-19,1890-07-19,TRUE,English,African American
"Daily American Citizen (Kansas City, Kan.) 1898-1900",sn85066912,12994512,,Kansas,Wyandotte,Kansas City,"39.1127, -94.626804",https://www.loc.gov/item/sn85066912/?st=calendar,58,1898-12-15,4/24/00,TRUE,English,African American
"The Daily Bulletin (Dayton, Ohio) 1942-1946",sn84024221,11272712,2770-8713,Ohio,Montgomery,Dayton,"39.760982, -84.192203",https://www.loc.gov/item/sn84024221/?st=calendar,612,9/1/44,9/27/46,TRUE,English,African American
"The Daily Express (Dayton, Ohio) 1950-1955",sn88077225,17538515,2766-760x,Ohio,Montgomery,Dayton,"39.760982, -84.192203",https://www.loc.gov/item/sn88077225/?st=calendar,362,11/16/50,5/26/52,TRUE,English,African American
"Daily National Era (Washington, D.C.) 1854-1854",sn86053546,4364562,2471-5328,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn86053546/?st=calendar,185,1854-01-02,1854-08-05,TRUE,English,African American
"The Daily News of the Virgin Islands (Charlotte Amalie, St. Thomas, V.I.) 1955-1978",sn83025327,9391862,2996-9131,Virgin Islands,Saint Thomas,Charlotte Amalie,"18.3419, -64.9307",https://www.loc.gov/item/sn83025327/?st=calendar,567,1/2/62,12/31/63,TRUE,English,"African American, Caribbean"
"The Daily Republican (Seattle, Wash.) 18??-189?",sn87093449,17291877,2158-4710,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn87093449/?st=calendar,2,1896-02-26,1896-03-02,TRUE,English,African American
"The Dallas Express (Dallas, Tex.) 1893-1970",sn83025779,9839625,2331-334x,Texas,"Dallas, Harris","Dallas, Houston","29.7608026, -95.3695062",https://www.loc.gov/item/sn83025779/?st=calendar,183,1/13/00,12/30/22,TRUE,English,African American
"The Dayton Forum (Dayton, Ohio) 1913-1949",sn84024234,11323316,2766-7642,Ohio,Montgomery,Dayton,"39.760982, -84.192203",https://www.loc.gov/item/sn84024234/?st=calendar,415,6/7/18,10/31/46,TRUE,English,African American
The Defender (Philadelphia ; Bryn Mawr [Pa.]) 1897-19??,sn83027088,9885792,2835-8929,Pennsylvania,"Philadelphia, Montgomery","Philadelphia, Bryn Mawr","40.022711, -75.320873",https://www.loc.gov/item/sn83027088/?st=calendar,1,1/27/00,1/27/00,TRUE,English,African American
"The Delta Leader (Greenville, Miss.) 1939-19??",sn87065122,15155009,2765-866x,Mississippi,Washington,Greenville,"33.399438, -91.053463",https://www.loc.gov/item/sn87065122/?st=calendar,3,12/19/43,1/16/55,TRUE,English,African American
"The Denver Star (Denver, Colo.) 1913-1963",sn84025887,10571156,2577-2376,Colorado,Denver,Denver,"39.738453, -104.984853",https://www.loc.gov/item/sn84025887/?st=calendar,291,3/22/13,10/26/18,TRUE,English,African American
"The Detroit Informer (Detroit, Mich.) 1897-19??",sn83016519,9873707,2832-9910,Michigan,Wayne,Detroit,"42.3329407, -83.0478365",https://www.loc.gov/item/sn83016519/?st=calendar,1,1/13/00,1/13/00,TRUE,English,African American
"Detroit Tribune (Detroit, Mich.) 1933-1933",sn83016294,9671902,2577-2538,Michigan,Wayne,Detroit,"42.3329407, -83.0478365",https://www.loc.gov/item/sn83016294/?st=calendar,37,4/14/33,12/23/33,TRUE,English,African American
"The Detroit Tribune (Detroit, Mich.) 1935-1966",sn92063852,26654010,2577-350x,Michigan,Wayne,Detroit,"42.3329407, -83.0478365",https://www.loc.gov/item/sn92063852/?st=calendar,1450,9/14/35,12/28/63,TRUE,English,African American
The Echo (St. Martinsville [i.e. St. Martinville] La.) 1872-1878,sn83027096,10028714,2641-8142,Louisiana,Saint Martin,Saint Martinville,"30.123699, -91.828224",https://www.loc.gov/item/sn83027096/?st=calendar,1,1873-03-15,1873-03-15,TRUE,"English, French",African American
"The Echo (Meridian, Miss.) 1942-1960",sn88067047,17538016,2765-9348,Mississippi,Lauderdale,Meridian,"32.365047, -88.703606",https://www.loc.gov/item/sn88067047/?st=calendar,458,1/16/42,12/15/56,TRUE,English,African American
"The Educator (Fayetteville, N.C.) 1874-1875",2020236717,"1139521043, n1139521043",2769-0768,North Carolina,Cumberland,Fayetteville,"35.054417, -78.883659",https://www.loc.gov/item/2020236717/?st=calendar,48,1874-09-26,1875-09-25,TRUE,English,African American
"The Elevator (San Francisco, Calif.) 1865-1???",sn83027101,10106877,2994-6042,California,San Francisco,San Francisco,"37.7800771, -122.4201615",https://www.loc.gov/item/sn83027101/?st=calendar,1,1888-09-08,1888-09-08,TRUE,English,African American
"The Enterprise (Omaha, Neb.) 1893-1914",sn84020277,10529510,2835-4567,Nebraska,Douglas,Omaha,"41.258652, -95.937195",https://www.loc.gov/item/sn84020277/?st=calendar,1,1/12/00,1/12/00,TRUE,English,African American
"The Enterprise (Seattle, Wash.) 192?-1930",sn87093375,17273968,2831-5995,Washington,King,Seattle,"47.603229, -122.33028",https://www.loc.gov/item/sn87093375/?st=calendar,98,10/8/26,12/27/28,TRUE,English,African American
"The Evening Call (Topeka, Kan.) 1891-1893",sn85032047,12849982,2994-8533,Kansas,Shawnee,Topeka,"39.050976, -95.670433",https://www.loc.gov/item/sn85032047/?st=calendar,15,1893-06-13,1893-07-08,TRUE,English,African American
"The Florida Evangelist (Jacksonville, Fla.) 1896-1902",sn82016146,9169447,2833-8502,Florida,Duval,Jacksonville,"30.325968, -81.65676",https://www.loc.gov/item/sn82016146/?st=calendar,1,1/20/00,1/20/00,TRUE,English,African American
"The Florida Sentinel (Pensacola, Fla.) 1887-1???",sn98062577,40250476,,Florida,Escambia,Pensacola,"30.4068966, -87.2175711",https://www.loc.gov/item/sn98062577/?st=calendar,1,1/26/00,1/26/00,TRUE,English,African American
"The Forrest City Herald (Forrest City, St. Francis County, Ark.) 1896-18??",sn90050374,22971599,2995-5246,Arkansas,Saint Francis,Forrest City,"35.0092348, -90.7852627",https://www.loc.gov/item/sn90050374/?st=calendar,7,1896-02-29,1896-04-11,TRUE,English,African American
"The Forum (Springfield, Ill.; Springfield, Ill. ; Peoria, Ill.) 1904-192?",sn86086415,13346960,2694-1139,Illinois,"Sangamon County, Peoria County","Springfield, Peoria","40.694592, -89.590362",https://www.loc.gov/item/sn86086415/?st=calendar,392,2/3/06,6/30/17,TRUE,English,African American
"Franklin's Paper the Denver Star (Denver, Colo.) 1912-1913",sn91052312,23238228,2577-235x,Colorado,Denver,Denver,"39.738453, -104.984853",https://www.loc.gov/item/sn91052312/?st=calendar,17,11/23/12,3/15/13,TRUE,English,African American
"Franklin's Paper the Statesman (Denver, Colo.) 1906-1912",sn91052311,23238142,2577-2333,Colorado,Denver,Denver,"39.738453, -104.984853",https://www.loc.gov/item/sn91052311/?st=calendar,335,6/8/06,11/16/12,TRUE,English,African American
