Newspapers,LCCN,OCLC,ISSN,State,County,City,Geo Location,Browse Digitized Issues,Number of Issues,First Issue,Last Issue,Essay Available,Languages,Ethnicity
"National Baptist World (Wichita, Kan.) 1894-1894",sn84025833,10372518,2837-0414,Kansas,Sedgwick,Wichita,"37.6860234, -97.335571",https://www.loc.gov/item/sn84025833/?st=calendar,13,1894-08-31,1894-11-23,TRUE,English,African American
The National Era (Washington [D.C.]) 1847-1860,sn84026752,10642039,2471-5301,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn84026752/?st=calendar,531,1850-01-03,1860-03-15,TRUE,English,African American
"The National Forum (Washington, D.C.) 1910-19??",sn82015056,8797812,1940-7327,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn82015056/?st=calendar,17,5/28/10,11/12/10,TRUE,English,African American
"The National Leader (Washington, D.C.) 1888-1889",sn84025834,10373249,2995-8962,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn84025834/?st=calendar,29,1888-12-08,1889-09-28,TRUE,English,African American
"The National Pilot (Petersburg, Va.) 1886-19??",sn84025813,10328978,2836-5941,Virginia,,Petersburg,"37.205498, -77.387642",https://www.loc.gov/item/sn84025813/?st=calendar,1,2/1/00,2/1/00,TRUE,English,African American
"The National Reflector (Wichita, Kan.) 1895-1898",sn85032590,12617059,,Kansas,Sedgwick,Wichita,"37.6860234, -97.335571",https://www.loc.gov/item/sn85032590/?st=calendar,85,1895-12-07,1897-12-25,TRUE,English,African American
"National Savings Bank (Washington, D.C.) 1868-18?? [Online Resource]",sn96027351,"904283370, 34135980",,District of Columbia,,Washington,"38.8920621, -77.0199124",https://www.loc.gov/item/sn96027351/?st=calendar,2,1868-01-01,1868-06-01,TRUE,English,African American
"The Negro Appeal (Baltimore ; Annapolis, Md.) 1899-19??",sn84025821,10337773,2836-9017,Maryland,Anne Arundel,"Baltimore, Annapolis","38.97829, -76.495683",https://www.loc.gov/item/sn84025821/?st=calendar,1,2/16/00,2/16/00,TRUE,English,African American
"Negro World (Knoxville, Tenn.) 1888-1???",sn83025753,9775485,2835-8473,Tennessee,Knox,Knoxville,"35.9626444, -83.9167239",https://www.loc.gov/item/sn83025753/?st=calendar,1,1891-02-28,1891-02-28,TRUE,English,African American
"The Negro World (St. Paul, Minn. ; Minneapolis, Minn.) 1892-19??",sn86058057,13351538,2996-329x,Minnesota,"Ramsey, Hennepin","Saint Paul, Minneapolis","44.9774859, -93.2643669",https://www.loc.gov/item/sn86058057/?st=calendar,14,1892-07-23,6/9/00,TRUE,English,African American
"The New Age (Portland, Or.) 1896-1905",sn83025107,9272181,2996-6493,Oregon,Multnomah,Portland,"45.516018, -122.681425",https://www.loc.gov/item/sn83025107/?st=calendar,51,12/23/05,3/30/07,TRUE,English,African American
"The New Age (Butte, Mont.) 1902-190?",sn84036148,11076647,2326-9650,Montana,Silver Bow,Butte,"46.01284, -112.535583",https://www.loc.gov/item/sn84036148/?st=calendar,36,5/30/02,2/7/03,TRUE,English,African American
